ID,Parolee ID,Facility ID,Added By,Priority,Notes,Created At
1,IDOC-10003,5,cm_adams,high,Needs placement near Idaho Falls for family support,2026-04-09 03:14:33.767045+00:00
2,IDOC-10001,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.686010+00:00
3,IDOC-10002,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.693271+00:00
4,IDOC-10003,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.703111+00:00
5,IDOC-10004,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.708553+00:00
6,IDOC-10005,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.715887+00:00
7,IDOC-20000,7,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.723350+00:00
8,IDOC-20001,8,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.748619+00:00
9,IDOC-20002,9,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.764121+00:00
10,IDOC-20003,10,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.771115+00:00
11,IDOC-20004,11,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.781587+00:00
12,IDOC-20005,12,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.799840+00:00
13,IDOC-20006,13,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.822055+00:00
14,IDOC-20007,14,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.829813+00:00
15,IDOC-20008,15,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.836601+00:00
16,IDOC-20009,16,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.842632+00:00
17,IDOC-20010,17,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.854998+00:00
18,IDOC-20011,18,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.863563+00:00
19,IDOC-20012,19,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.869925+00:00
20,IDOC-20013,20,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.879336+00:00
21,IDOC-20014,21,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.886080+00:00
22,IDOC-20015,22,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.892581+00:00
23,IDOC-20016,23,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.901615+00:00
24,IDOC-20017,1,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.908552+00:00
25,IDOC-20018,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.915166+00:00
26,IDOC-20019,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.921535+00:00
27,IDOC-20020,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.928194+00:00
28,IDOC-20021,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.934250+00:00
29,IDOC-20022,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.940356+00:00
30,IDOC-20023,7,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.949026+00:00
31,IDOC-20024,8,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.958243+00:00
32,IDOC-20025,9,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.965265+00:00
33,IDOC-20026,10,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.975352+00:00
34,IDOC-20027,11,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.981390+00:00
35,IDOC-20028,12,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.987304+00:00
36,IDOC-20029,13,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:49.993637+00:00
37,IDOC-20030,14,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.002082+00:00
38,IDOC-20031,15,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.017451+00:00
39,IDOC-20032,16,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.025123+00:00
40,IDOC-20033,17,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.029876+00:00
41,IDOC-20034,18,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.034910+00:00
42,IDOC-20035,19,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.039642+00:00
43,IDOC-20036,20,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.044459+00:00
44,IDOC-20037,21,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.049954+00:00
45,IDOC-20038,22,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.055192+00:00
46,IDOC-20039,23,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.061439+00:00
47,IDOC-20040,1,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.066950+00:00
48,IDOC-20041,2,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.073442+00:00
49,IDOC-20042,3,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.079583+00:00
50,IDOC-20043,4,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.162812+00:00
51,IDOC-20044,5,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.177111+00:00
52,IDOC-20045,6,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.211740+00:00
53,IDOC-20046,7,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.228470+00:00
54,IDOC-20047,8,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.249101+00:00
55,IDOC-20048,9,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.268840+00:00
56,IDOC-20049,10,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.288185+00:00
57,IDOC-20050,11,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.314143+00:00
58,IDOC-20051,12,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.342439+00:00
59,IDOC-20052,13,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.362421+00:00
60,IDOC-20053,14,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.370322+00:00
61,IDOC-20054,15,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.387946+00:00
62,IDOC-20055,16,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.403694+00:00
63,IDOC-20056,17,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.409346+00:00
64,IDOC-20057,18,cm_adams,medium,Large seed waitlist entry,2026-04-09 03:14:50.428571+00:00
